Column Count::2
Column Names::Word	Frequency
राजगीर	43
कट	43
दादा	43
भारत	43
तइयार	43
मजूरी	43
आठ	43
मेहनत	43
दलान	43
सुजाता	43
देखलन	43
चनेसर	43
ध्यान	43
काट	43
जानवर	43
बढ़	43
जलम	42
लिख	42
उहे	42
गली	42
परान	42
उठके	42
खुलल	42
एतने	42
धेयान	42
होतो	42
बेमारी	42
मील	42
राजनीति	42
ओर	42
हावा	42
दीया	42
आनन्द	42
पट्टी	42
जुआनी	42
अइसने	42
कुरसी	42
भार	42
पार्वती	42
सड़क	42
झगड़ा	42
हवेली	42
जदि	41
बीस	41
मान	41
जनता	41
रामरतन	41
बरतन	41
प्रभाव	41
बनावल	41
मगहियन	41
जाम	41
लेलका	41
भीड़	41
उतर	41
नींद	41
मिलत	41
लिए	41
इंटरनेट	41
श्रीकृष्ण	41
जैसे	41
सावन	41
करो	41
तनिको	41
दिवस	41
हास्य	41
दुआर	41
दवा	41
गोल	41
साँस	41
थान	41
बइठका	41
चढ़	41
बाऊजी	41
दूनो	41
गोबिन	41
सावा	41
घड़ी	40
बड़गर	40
जमाना	40
आप	40
अभिमन्यु	40
मौर्य	40
गौतम	40
शुरूआत	40
देहे	40
उपाय	40
सके	40
कल्ह	40
देम	40
अनिल	40
नहीं	40
कत्ते	40
हियै	40
सिपाही	40
ताजा	40
खुशी	40
खरचा	40
माँग	40
अरुण	40
पैदा	40
गेलियो	40
रधिया	40
दुनहुँ	40
देबउ	40
पड़त	40
झोपड़ी	40
यात्रा	39
कजरी	39
चक्कर	39
विजय	39
मागधी	39
तीनों	39
भोर	39
उठाके	39
बेच	39
खुश	39
लगत	39
निकले	39
पुरनका	39
कइलथिन	39
धन्यवाद	39
करें	39
पुलिस	39
एके	39
भूल	39
लावे	39
आन्दोलन	39
प्रकाशन	39
देली	39
चाउर	39
सा	39
डेउढ़ी	39
जनु	39
नावा	39
नरियर	39
नरेन	38
कुच्छो	38
रजकण	38
उठावे	38
पावे	38
मेहमान	38
गेलूं	38
डॉक्टर	38
शफीक	38
बरसा	38
अपनो	38
अमर	38
भोरे	38
तेसर	38
देलकइ	38
थरिया	38
बइठे	38
सुनीता	38
हनुमान	38
डेढ़	38
बड़	38
दुन्या	38
जजमान	38
रहलूं	37
बल	37
चोट	37
दहेज	37
श्रोत्रिय	37
सीमा	37
शिव	37
जय	37
हरेक	37
चाल	37
घुर	37
कउची	37
जुट	37
सहजोग	37
कॉलम	37
टोला	37
हाजिर	37
नालन्दा	37
खाके	37
तरकारी	37
बैंक	37
गोयठा	37
मोटगर	37
डूब	37
भीर	37
परदा	37
पेड़	37
हिम्मत	36
सामाजिक	36
प्रेरणा	36
विलास	36
उहाँ	36
भरोसा	36
दरवाजा	36
गोर	36
कहो	36
कैलन	36
विधायक	36
धार	36
खास	36
ताकि	36
झूमर	36
अजबे	36
ओन्ने	36
बारह	36
चास	36
इंजोर	36
हरियर	36
अबहीं	36
चर्चा	36
काने	36
अजी	36
ठहर	36
बर	36
सुत	36
लगो	36
साथी	36
कट्ठा	36
महसूस	36
रहतो	36
माई	36
बिहारी	36
देना	36
सुलोचनी	36
साँप	36
महल्ला	36
बनारसी	36
बुढ़ारी	36
नारी	35
मरे	35
बराबर	35
कथा	35
मुसहरी	35
लगले	35
पहुंचल	35
गाल	35
गोस्सा	35
सोंच	35
श्रोता	35
इज्जत	35
मनोज	35
खूबे	35
लगतो	35
तहिये	35
केकर	35
अरविन्द	35
रोजगार	35
गामे	35
दाल	35
करजा	35
गोप	35
एकाध	35
पहर	35
रहलूँ	35
बिहने	35
नीमन	35
सोमरा	35
थोड़े	35
सामी	35
छकौड़ी	35
रमिया	35
लेखन	34
धारा	34
परेम	34
कारन	34
विश्वकर्मा	34
भूख	34
घरनी	34
नाक	34
गियारी	34
किरपा	34
हय	34
पत्नी	34
चुनाव	34
तोहनी	34
सुन्नर	34
ना	34
सुरुज	34
मिलतो	34
हाँथ	34
सिर	34
अजगुत	34
ससुर	34
ढेरो	34
दुइयो	34
मोहना	34
नउआ	34
कनबाली	34
सुरजा	34
नवीन	33
बेरी	33
ईहां	33
स्तर	33
प्रति	33
चेतना	33
सफल	33
अधिकारी	33
चुकल	33
छुट्टी	33
कते	33
पसर	33
मैदान	33
तोहरे	33
घुस	33
बोलला	33
देवसपुरी	33
वरिष्ठ	33
साबित	33
कोना	33
बुतरून	33
थाना	33
घाव	33
देवता	33
आवत	33
शास्त्री	33
कनिआय	33
बाँध	33
रस	33
जहर	33
शिक्षक	33
जीन्स	33
तेवर	33
महुआ	33
राजो	33
पच्छिम	33
केउ	33
नीम	33
समूचे	33
चढ़े	33
पढ़े	33
बढ़नी	33
प्रतिनिधि	32
पढ़े	32
आसपास	32
पहचान	32
मोसकिल	32
मुखिया	32
होयत	32
पीढ़ी	32
ताक	32
भेज	32
निराला	32
लोहा	32
घूम	32
हासिल	32
दिनकर	32
सुमन	32
हा	32
जन्नी	32
वाली	32
सेठ	32
आजादी	32
देले	32
दया	32
कमरा	32
हाइकु	32
कुछो	32
पहुँचा	32
जउरे	32
हुआँ	32
भोजन	32
मालकिन	32
सवार	32
मुनचुन	32
पकड़	32
लगना	32
माए	32
गोपाल	31
रेखांकित	31
बदलल	31
मना	31
बदलाव	31
ऊहां	31
चलावे	31
पुस्तक	31
चोर	31
पांच	31
तूं	31
चलइत	31
लहर	31
रहलियो	31
फैसला	31
सूरज	31
अइते	31
आना	31
मे	31
एकता	31
ठीके	31
लौट	31
गावे	31
सोहर	31
तस्वीर	31
पूछ	31
होवो	31
लगन	31
चलि	31
अजय	31
लिट्टी	31
सुक्खल	31
बुधिया	31
जइतउ	31
मियाँ	31
गहूम	31
दुन्नूँ	31
तिलका	31
खिड़की	31
उड़	31
ओहदा	31
सभी	30
लोगबाग	30
रहइ	30
जानकारी	30
करावे	30
करतन	30
दृष्टि	30
कहानीकार	30
घाट	30
बचल	30
लाज	30
हूँ	30
डाक्टर	30
कलाकार	30
पिता	30
वर्तमान	30
ओंकार	30
डेरा	30
कहना	30
हैं	30
मुकाम	30
जवान	30
कपड़ा	30
घास	30
बदरा	30
ज्ञान	30
जरा	30
करा	30
लगलूँ	30
गिरल	30
दाम	30
दोसरा	30
जनी	30
करतो	30
हलूं	30
पनरह	30
चूल्हा	30
ग़ज़ल	30
अन्तिम	30
गोविन्द	30
बढ़ल	30
रिटायर	30
चमइन	30
कल्लू	30
हाय	29
कसौटी	29
समदर्शी	29
विद्यार्थी	29
झा	29
लगभग	29
छो	29
लड़की	29
मजूर	29
करिया	29
होयल	29
सहारा	29
डेग	29
रिश्ता	29
सोचे	29
थोड़े	29
कैलथिन	29
विशेष	29
बच्चों	29
सगर	29
माला	29
छा	29
ससुरा	29
सेकरा	29
गुनी	29
खरिहान	29
ओसरा	29
बनाके	29
गोतनी	29
पूर्णा	29
बखत	29
नाटक	29
मजा	29
बिसेसर	29
देबो	29
सलीमा	29
दरकल	29
वहाँ	29
नक्शा	29
महादे	29
बिछल	29
दिअउ	29
सातो	29
मड़वा	29
उपयोग	29
डेउढ़ी	29
देखलियो	29
अरूण	28
वजह	28
अकेला	28
रहतइ	28
विधान	28
भावना	28
आलोचक	28
खूमे	28
शामिल	28
ओइसन	28
बादे	28
अनेक	28
आधुनिक	28
